Frequency,Amplitude,,Real,Imag
19.4676,8.17851e-006,,-6.69604e-006,-4.69586e-006
19.6339,8.02816e-006,,-6.54875e-006,-4.64383e-006
19.8003,7.88154e-006,,-6.40523e-006,-4.59256e-006
19.9667,7.73853e-006,,-6.26535e-006,-4.54205e-006
20.1331,7.59901e-006,,-6.129e-006,-4.49226e-006
20.2995,7.46287e-006,,-5.99605e-006,-4.44318e-006
20.4659,7.32999e-006,,-5.86639e-006,-4.39479e-006
20.6323,7.20027e-006,,-5.73993e-006,-4.34708e-006
20.7987,7.07361e-006,,-5.61656e-006,-4.30003e-006
20.9651,6.94982e-006,,-5.49611e-006,-4.25357e-006
21.1314,6.82913e-006,,-5.37874e-006,-4.20787e-006
21.2978,6.71106e-006,,-5.26406e-006,-4.16269e-006
21.4642,6.5957e-006,,-5.15211e-006,-4.11812e-006
21.6306,6.48294e-006,,-5.04281e-006,-4.07414e-006
21.797,6.37271e-006,,-4.93606e-006,-4.03072e-006
21.9634,6.26493e-006,,-4.8318e-006,-3.98786e-006
22.1298,6.15952e-006,,-4.72994e-006,-3.94554e-006
22.2962,6.05642e-006,,-4.63043e-006,-3.90376e-006
22.4626,5.95555e-006,,-4.53318e-006,-3.86249e-006
22.629,5.85685e-006,,-4.43814e-006,-3.82173e-006
22.7953,5.76025e-006,,-4.34523e-006,-3.78146e-006
22.9617,5.66565e-006,,-4.25437e-006,-3.74165e-006
23.1281,5.57316e-006,,-4.16562e-006,-3.7024e-006
23.2945,5.48251e-006,,-4.07877e-006,-3.66355e-006
23.4609,5.39374e-006,,-3.99384e-006,-3.62515e-006
23.6273,5.30679e-006,,-3.91075e-006,-3.5872e-006
23.7937,5.2216e-006,,-3.82947e-006,-3.54969e-006
23.9601,5.13813e-006,,-3.74995e-006,-3.51259e-006
24.1265,5.05633e-006,,-3.67213e-006,-3.47592e-006
24.2928,4.97616e-006,,-3.59597e-006,-3.43964e-006
24.4592,4.89756e-006,,-3.52143e-006,-3.40377e-006
24.6256,4.8205e-006,,-3.44846e-006,-3.36828e-006
24.792,4.74493e-006,,-3.37702e-006,-3.33318e-006
24.9584,4.67087e-006,,-3.30711e-006,-3.29848e-006
25.1248,4.59806e-006,,-3.23855e-006,-3.26404e-006
25.2912,4.52674e-006,,-3.17148e-006,-3.23004e-006
25.4576,4.45675e-006,,-3.10577e-006,-3.19637e-006
25.624,4.38806e-006,,-3.04142e-006,-3.16305e-006
25.7903,4.32064e-006,,-2.97836e-006,-3.13007e-006
25.9567,4.25446e-006,,-2.91659e-006,-3.09741e-006
26.1231,4.18948e-006,,-2.85606e-006,-3.06507e-006
26.2895,4.12567e-006,,-2.79674e-006,-3.03305e-006
26.4559,4.063e-006,,-2.73861e-006,-3.00133e-006
26.6223,4.00145e-006,,-2.68163e-006,-2.96992e-006
26.7887,3.94098e-006,,-2.62578e-006,-2.9388e-006
26.9551,3.88153e-006,,-2.57101e-006,-2.90795e-006
27.1215,3.82321e-006,,-2.51737e-006,-2.87746e-006
27.2879,3.76583e-006,,-2.46474e-006,-2.84719e-006
27.4542,3.70943e-006,,-2.41313e-006,-2.81721e-006
27.6206,3.65399e-006,,-2.36253e-006,-2.78749e-006
27.787,3.59948e-006,,-2.3129e-006,-2.75804e-006
27.9534,3.54589e-006,,-2.26423e-006,-2.72884e-006
28.1198,3.49318e-006,,-2.21649e-006,-2.6999e-006
28.2862,3.44133e-006,,-2.16966e-006,-2.67121e-006
28.4526,3.39034e-006,,-2.12372e-006,-2.64276e-006
28.619,3.34016e-006,,-2.07865e-006,-2.61455e-006
28.7854,3.29079e-006,,-2.03444e-006,-2.58658e-006
28.9517,3.24221e-006,,-1.99106e-006,-2.55884e-006
29.1181,3.19439e-006,,-1.94848e-006,-2.53131e-006
29.2845,3.14732e-006,,-1.90671e-006,-2.50401e-006
29.4509,3.10098e-006,,-1.86571e-006,-2.47693e-006
29.6173,3.05536e-006,,-1.82548e-006,-2.45007e-006
29.7837,3.01043e-006,,-1.786e-006,-2.42341e-006
29.9501,2.96619e-006,,-1.74724e-006,-2.39696e-006
30.1165,2.92261e-006,,-1.7092e-006,-2.37071e-006
30.2829,2.87968e-006,,-1.67186e-006,-2.34466e-006
30.4493,2.83738e-006,,-1.63521e-006,-2.3188e-006
30.6156,2.79571e-006,,-1.59923e-006,-2.29313e-006
30.782,2.75463e-006,,-1.5639e-006,-2.26765e-006
30.9484,2.71413e-006,,-1.5292e-006,-2.24233e-006
31.1148,2.67429e-006,,-1.49519e-006,-2.21726e-006
31.2812,2.63495e-006,,-1.46175e-006,-2.19231e-006
31.4476,2.59617e-006,,-1.42893e-006,-2.16755e-006
31.614,2.55793e-006,,-1.3967e-006,-2.14295e-006
31.7804,2.52023e-006,,-1.36505e-006,-2.11853e-006
31.9468,2.48303e-006,,-1.33398e-006,-2.09427e-006
32.1131,2.44635e-006,,-1.30347e-006,-2.07017e-006
32.2795,2.41016e-006,,-1.27351e-006,-2.04623e-006
32.4459,2.37445e-006,,-1.24408e-006,-2.02244e-006
32.6123,2.33921e-006,,-1.21519e-006,-1.9988e-006
32.7787,2.30443e-006,,-1.18681e-006,-1.97532e-006
32.9451,2.27004e-006,,-1.15891e-006,-1.95192e-006
33.1115,2.2363e-006,,-1.13162e-006,-1.92885e-006
33.2779,2.20283e-006,,-1.10474e-006,-1.90578e-006
33.4443,2.1698e-006,,-1.07834e-006,-1.88287e-006
33.6106,2.13719e-006,,-1.05243e-006,-1.8601e-006
33.777,2.10498e-006,,-1.02698e-006,-1.83746e-006
33.9434,2.07318e-006,,-1.00199e-006,-1.81496e-006
34.1098,2.04176e-006,,-9.77444e-007,-1.79259e-006
34.2762,2.01071e-006,,-9.53343e-007,-1.77034e-006
34.4426,1.98004e-006,,-9.29675e-007,-1.74822e-006
34.609,1.94973e-006,,-9.06433e-007,-1.72622e-006
34.7754,1.91977e-006,,-8.83608e-007,-1.70434e-006
34.9418,1.89011e-006,,-8.61173e-007,-1.68253e-006
35.1082,1.86097e-006,,-8.39225e-007,-1.661e-006
35.2745,1.83202e-006,,-8.17608e-007,-1.63945e-006
35.4409,1.8034e-006,,-7.96392e-007,-1.61803e-006
35.6073,1.77512e-006,,-7.75564e-007,-1.59673e-006
35.7737,1.74714e-006,,-7.55115e-007,-1.57553e-006
35.9401,1.71947e-006,,-7.3504e-007,-1.55444e-006
36.1065,1.6921e-006,,-7.15333e-007,-1.53346e-006
36.2729,1.66501e-006,,-6.95987e-007,-1.51257e-006
36.4393,1.63822e-006,,-6.76998e-007,-1.49179e-006
36.6057,1.6117e-006,,-6.58357e-007,-1.4711e-006
36.772,1.58544e-006,,-6.40059e-007,-1.4505e-006
36.9384,1.55936e-006,,-6.22065e-007,-1.42991e-006
37.1048,1.53389e-006,,-6.0454e-007,-1.40973e-006
37.2712,1.50838e-006,,-5.87233e-007,-1.38938e-006
37.4376,1.48316e-006,,-5.70267e-007,-1.36915e-006
37.604,1.4582e-006,,-5.53625e-007,-1.34902e-006
37.7704,1.43348e-006,,-5.373e-007,-1.32898e-006
37.9368,1.409e-006,,-5.21287e-007,-1.30902e-006
38.1032,1.38474e-006,,-5.05582e-007,-1.28915e-006
38.2696,1.36071e-006,,-4.9018e-007,-1.26935e-006
38.4359,1.3369e-006,,-4.75078e-007,-1.24965e-006
38.6023,1.31331e-006,,-4.60271e-007,-1.23002e-006
38.7687,1.28993e-006,,-4.45756e-007,-1.21047e-006
38.9351,1.2668e-006,,-4.31541e-007,-1.19103e-006
39.1015,1.24372e-006,,-4.17561e-007,-1.17153e-006
39.2679,1.22096e-006,,-4.03902e-007,-1.15222e-006
39.4343,1.19837e-006,,-3.90514e-007,-1.13296e-006
39.6007,1.17597e-006,,-3.77397e-007,-1.11377e-006
39.7671,1.15375e-006,,-3.6455e-007,-1.09465e-006
39.9334,1.13171e-006,,-3.51968e-007,-1.07559e-006
40.0998,1.10985e-006,,-3.39649e-007,-1.0566e-006
40.2662,1.08815e-006,,-3.2759e-007,-1.03767e-006
40.4326,1.06662e-006,,-3.15788e-007,-1.01881e-006
40.599,1.04526e-006,,-3.04241e-007,-1.00001e-006
40.7654,1.02407e-006,,-2.92946e-007,-9.81273e-007
40.9318,1.00309e-006,,-2.81916e-007,-9.62657e-007
41.0982,9.8201e-007,,-2.71062e-007,-9.43859e-007
41.2646,9.61301e-007,,-2.60513e-007,-9.25329e-007
41.4309,9.40701e-007,,-2.50193e-007,-9.0682e-007
41.5973,9.20236e-007,,-2.4011e-007,-8.88359e-007
41.7637,8.99906e-007,,-2.30261e-007,-8.69948e-007
41.9301,8.79708e-007,,-2.20645e-007,-8.51588e-007
42.0965,8.5964e-007,,-2.11258e-007,-8.33277e-007
42.2629,8.39698e-007,,-2.021e-007,-8.15014e-007
42.4293,8.19879e-007,,-1.93168e-007,-7.96798e-007
42.5957,8.0018e-007,,-1.84459e-007,-7.78629e-007
42.7621,7.80597e-007,,-1.75971e-007,-7.60503e-007
42.9285,7.61121e-007,,-1.67703e-007,-7.42416e-007
43.0948,7.41781e-007,,-1.59657e-007,-7.24395e-007
43.2612,7.22525e-007,,-1.51822e-007,-7.06394e-007
43.4276,7.03378e-007,,-1.44202e-007,-6.88437e-007
43.594,6.84332e-007,,-1.36794e-007,-6.7052e-007
43.7604,6.65385e-007,,-1.29597e-007,-6.52642e-007
43.9268,6.46532e-007,,-1.22608e-007,-6.348e-007
44.0932,6.27773e-007,,-1.15827e-007,-6.16995e-007
44.2596,6.09102e-007,,-1.09252e-007,-5.99224e-007
44.426,5.90517e-007,,-1.0288e-007,-5.81486e-007
44.5923,5.72015e-007,,-9.67108e-008,-5.6378e-007
44.7587,5.53588e-007,,-9.0742e-008,-5.46101e-007
44.9251,5.35203e-007,,-8.49675e-008,-5.28416e-007
45.0915,5.17058e-007,,-7.94171e-008,-5.10923e-007
45.2579,4.98832e-007,,-7.40401e-008,-4.93307e-007
45.4243,4.80703e-007,,-6.88634e-008,-4.75745e-007
45.5907,4.62646e-007,,-6.38823e-008,-4.58214e-007
45.7571,4.44655e-007,,-5.90951e-008,-4.4071e-007
45.9235,4.26727e-007,,-5.45009e-008,-4.23232e-007
46.0899,4.08858e-007,,-5.00983e-008,-4.05777e-007
46.2562,3.91047e-007,,-4.58865e-008,-3.88345e-007
46.4226,3.7329e-007,,-4.18645e-008,-3.70935e-007
46.589,3.55585e-007,,-3.80313e-008,-3.53546e-007
46.7554,3.3793e-007,,-3.43862e-008,-3.36176e-007
46.9218,3.2032e-007,,-3.09282e-008,-3.18824e-007
47.0882,3.02759e-007,,-2.7657e-008,-3.01494e-007
47.2546,2.85236e-007,,-2.45711e-008,-2.84176e-007
47.421,2.67753e-007,,-2.16704e-008,-2.66875e-007
47.5874,2.50307e-007,,-1.8954e-008,-2.49588e-007
47.7537,2.32896e-007,,-1.64214e-008,-2.32316e-007
47.9201,2.15516e-007,,-1.4072e-008,-2.15056e-007
48.0865,1.98167e-007,,-1.19054e-008,-1.97809e-007
48.2529,1.80845e-007,,-9.92092e-009,-1.80572e-007
48.4193,1.63547e-007,,-8.11828e-009,-1.63346e-007
48.5857,1.46273e-007,,-6.49704e-009,-1.46129e-007
48.7521,1.2902e-007,,-5.05688e-009,-1.28921e-007
48.9185,1.11794e-007,,-3.79772e-009,-1.11729e-007
49.0849,9.45388e-008,,-2.71762e-009,-9.44997e-008
49.2512,7.73402e-008,,-1.81909e-009,-7.73188e-008
49.4176,6.01437e-008,,-1.1003e-009,-6.01336e-008
49.584,4.29543e-008,,-5.61317e-010,-4.29506e-008
49.7504,2.57703e-008,,-2.02058e-010,-2.57695e-008
49.9168,4.29486e-009,,-1.12262e-011,-4.29485e-009
